setting,top_k,recall,precision,tokens
scale=0.0_bias=0.05_expand=on_kb=2_focus=0.85,10,0.4066666666666666,0.24333333333333332,343.2
scale=0.0_bias=0.05_expand=on_kb=3_focus=0.6,3,0.6566666666666667,0.44,292.92
scale=0.0_bias=0.05_expand=on_kb=3_focus=0.6,5,0.6666666666666667,0.29600000000000004,491.0
scale=0.0_bias=0.05_expand=on_kb=3_focus=0.6,10,0.8066666666666668,0.204,981.52
scale=0.0_bias=0.05_expand=on_kb=3_focus=0.85,3,0.41666666666666663,0.32666666666666666,263.2
scale=0.0_bias=0.05_expand=on_kb=3_focus=0.85,5,0.45666666666666667,0.264,371.2
scale=0.0_bias=0.05_expand=on_kb=3_focus=0.85,10,0.45666666666666667,0.23133333333333334,492.88
scale=0.0_bias=0.05_expand=on_kb=5_focus=0.6,3,0.7366666666666667,0.4666666666666666,293.88
scale=0.0_bias=0.05_expand=on_kb=5_focus=0.6,5,0.82,0.4,488.84
scale=0.0_bias=0.05_expand=on_kb=5_focus=0.6,10,0.94,0.28,986.44
scale=0.0_bias=0.05_expand=on_kb=5_focus=0.85,3,0.45666666666666667,0.34,263.2
scale=0.0_bias=0.05_expand=on_kb=5_focus=0.85,5,0.53,0.308,394.88
scale=0.0_bias=0.05_expand=on_kb=5_focus=0.85,10,0.53,0.24666666666666667,621.92
scale=0.05_bias=0.0_expand=off_kb=2_focus=0.6,3,0.44666666666666666,0.29333333333333333,293.88
scale=0.05_bias=0.0_expand=off_kb=2_focus=0.6,5,0.6066666666666667,0.23200000000000004,493.88
scale=0.05_bias=0.0_expand=off_kb=2_focus=0.6,10,0.6066666666666667,0.1810952380952381,711.72
scale=0.05_bias=0.0_expand=off_kb=2_focus=0.85,3,0.4066666666666666,0.2733333333333333,263.2
scale=0.05_bias=0.0_expand=off_kb=2_focus=0.85,5,0.4066666666666666,0.24333333333333332,327.2
scale=0.05_bias=0.0_expand=off_kb=2_focus=0.85,10,0.4066666666666666,0.24333333333333332,343.2
scale=0.05_bias=0.0_expand=off_kb=3_focus=0.6,3,0.6566666666666667,0.44,292.92
scale=0.05_bias=0.0_expand=off_kb=3_focus=0.6,5,0.6666666666666667,0.29600000000000004,491.0
scale=0.05_bias=0.0_expand=off_kb=3_focus=0.6,10,0.8066666666666668,0.204,981.52
scale=0.05_bias=0.0_expand=off_kb=3_focus=0.85,3,0.41666666666666663,0.32666666666666666,263.2
scale=0.05_bias=0.0_expand=off_kb=3_focus=0.85,5,0.45666666666666667,0.264,371.2
scale=0.05_bias=0.0_expand=off_kb=3_focus=0.85,10,0.45666666666666667,0.23133333333333334,492.88
scale=0.05_bias=0.0_expand=off_kb=5_focus=0.6,3,0.7366666666666667,0.4666666666666666,293.88
scale=0.05_bias=0.0_expand=off_kb=5_focus=0.6,5,0.82,0.4,488.84
scale=0.05_bias=0.0_expand=off_kb=5_focus=0.6,10,0.94,0.28,986.44
scale=0.05_bias=0.0_expand=off_kb=5_focus=0.85,3,0.45666666666666667,0.34,263.2
scale=0.05_bias=0.0_expand=off_kb=5_focus=0.85,5,0.53,0.308,394.88
scale=0.05_bias=0.0_expand=off_kb=5_focus=0.85,10,0.53,0.24666666666666667,621.92
scale=0.05_bias=0.0_expand=on_kb=2_focus=0.6,3,0.44666666666666666,0.29333333333333333,293.88
scale=0.05_bias=0.0_expand=on_kb=2_focus=0.6,5,0.6066666666666667,0.23200000000000004,493.88
scale=0.05_bias=0.0_expand=on_kb=2_focus=0.6,10,0.6066666666666667,0.1810952380952381,711.72
scale=0.05_bias=0.0_expand=on_kb=2_focus=0.85,3,0.4066666666666666,0.2733333333333333,263.2
scale=0.05_bias=0.0_expand=on_kb=2_focus=0.85,5,0.4066666666666666,0.24333333333333332,327.2
scale=0.05_bias=0.0_expand=on_kb=2_focus=0.85,10,0.4066666666666666,0.24333333333333332,343.2
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.6,3,0.6566666666666667,0.44,292.92
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.6,5,0.6666666666666667,0.29600000000000004,491.0
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.6,10,0.8066666666666668,0.204,981.52
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.85,3,0.41666666666666663,0.32666666666666666,263.2
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.85,5,0.45666666666666667,0.264,371.2
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.85,10,0.45666666666666667,0.23133333333333334,492.88
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.6,3,0.7366666666666667,0.4666666666666666,293.88
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.6,5,0.82,0.4,488.84
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.6,10,0.94,0.28,986.44
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.85,3,0.45666666666666667,0.34,263.2
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.85,5,0.53,0.308,394.88
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.85,10,0.53,0.24666666666666667,621.92
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.6,3,0.44666666666666666,0.29333333333333333,293.88
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.6,5,0.6066666666666667,0.23200000000000004,493.88
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.6,10,0.6066666666666667,0.1810952380952381,711.72
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.85,3,0.4066666666666666,0.2733333333333333,263.2
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.85,5,0.4066666666666666,0.24333333333333332,327.2
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.85,10,0.4066666666666666,0.24333333333333332,343.2
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.6,3,0.6566666666666667,0.44,292.92
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.6,5,0.6666666666666667,0.29600000000000004,491.0
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.6,10,0.8066666666666668,0.204,981.52
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.85,3,0.41666666666666663,0.32666666666666666,263.2
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.85,5,0.45666666666666667,0.264,371.2
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.85,10,0.45666666666666667,0.23133333333333334,492.88
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.6,3,0.7366666666666667,0.4666666666666666,293.88
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.6,5,0.82,0.4,488.84
